,prod_asin,prod_condition,prod_price,seller_index,seller_name,seller_rating,seller_n_reviews
240,B07TYVWW43,New,249.0,3.0,HB Sports Inc.,99.0,88.0
241,B07TYVWW43,New,249.0,4.0,BP Athletics,96.0,3660.0
242,B07TYVWW43,New,249.0,5.0,Premier Bats & Sports,94.0,1966.0
243,B07TYVWW43,New,249.0,6.0,Baseball Express/Team Express,85.0,9471.0
244,B07TYVWW43,New,249.0,7.0,SoftballFans/HardballFans,83.0,17620.0
245,B07TYVWW43,New,249.0,8.0,League Outfitters,87.0,3573.0
246,B07TYVWW43,New,249.0,9.0,HitaDouble,65.0,326.0
247,B07TYVWW43,New,249.0,10.0,SVP Sports,93.0,250.0
248,B08MBGZ9WR,New,349.0,0.0,Amazon.com,96.0,3660.0
249,B08MBGZ9WR,New,349.0,1.0,BP Athletics,96.0,3660.0
250,B08MBGZ9WR,New,349.0,2.0,Protech Products Inc.,88.0,2243.0
251,B08MBGZ9WR,New,349.0,3.0,"Direct Sports, Inc.",90.0,1054.0
252,B08MBGZ9WR,New,349.0,4.0,Razor Sports Inc.,71.0,14.0
253,B001DRNLE6,New,27.0,0.0,Spreetail,87.0,305191.0
254,B001DRNLE6,New,27.0,1.0,BladeHQ,86.0,670.0
255,B001DRNLE6,New,28.0,2.0,Marketplace Rev,90.0,4487.0
256,B001DRNLE6,New,30.0,3.0,eCop!,79.0,39596.0
257,B001DRNLE6,New,32.0,4.0,DiscountCentralOnline,95.0,20851.0
258,B001DRNLE6,New,32.0,5.0,Mr.Inkredible Services,80.0,10.0
259,B001DRNLE6,New,32.0,6.0,JBTools,93.0,90225.0
260,B001DRNLE6,New,35.0,7.0,Link Sky,73.0,49.0
261,B001DRNLE6,New,36.0,8.0,Michigan Sports,76.0,824.0
262,B001DRNLE6,New,38.0,9.0,DNXSTORE,50.0,2.0
263,B001DRNLE6,New,39.0,10.0,Trusted Sports,94.0,474.0
264,B002BZIVSU,New,19.0,0.0,Amazon.com,91.0,1304.0
265,B002BZIVSU,New,19.0,1.0,barnett america inc,91.0,1304.0
266,B002BZIVSU,New,19.0,2.0,barnett america inc,91.0,1304.0
267,B002BZIVSU,New,25.0,3.0,barnett sports inc,70.0,10.0
268,B002BZIVSU,New,25.0,4.0,barnett sports inc,70.0,10.0
269,B07FNLWV2X,New,78.0,0.0,Amazon.com,92.0,17223.0
270,B07FNLWV2X,New,77.0,1.0,Sports Unlimited®,92.0,17223.0
271,B07FNLWV2X,New,67.0,2.0,Everysportforless,72.0,855.0
272,B07FNLWV2X,New,91.0,3.0,BBB Sports Inc,82.0,28.0
273,B07FNLWV2X,New,95.0,4.0,Sports Clearing House,88.0,138.0
274,B07FNLWV2X,New,89.0,5.0,Paragon Sports,62.0,6723.0
275,B07FNLWV2X,New,113.0,6.0,Baseball Express/Team Express,85.0,9471.0
276,B07FNLWV2X,New,113.0,7.0,SoftballFans/HardballFans,83.0,17620.0
277,B087NR2VSL,New,20.0,0.0,Amazon.com,99.0,219.0
278,B07TSFB58B,New,159.0,0.0,JustBats,97.0,3922.0
279,B07TSFB58B,New,179.0,1.0,HQ4SPORTS,92.0,911.0
280,B07TSFB58B,New,179.0,2.0,Sports Unlimited®,92.0,17223.0
281,B07TSFB58B,New,199.0,3.0,BP Athletics,96.0,3660.0
282,B07TSFB58B,New,229.0,4.0,Premier Bats & Sports,94.0,1966.0
283,B07TSFB58B,New,229.0,5.0,SVP Sports,93.0,250.0
284,B07TSFB58B,New,229.0,6.0,HitaDouble,65.0,326.0
285,B07TSFB58B,New,229.0,7.0,AmericanLivingOnline,90.0,9042.0
286,B07TSFB58B,New,259.0,8.0,SoftballFans/HardballFans,83.0,17620.0
287,B07TSFB58B,New,259.0,9.0,Baseball Express/Team Express,85.0,9471.0
288,B07TWN7XBX,New,295.0,0.0,Amazon.com,99.0,876.0
289,B07TWN7XBX,New,295.0,1.0,STC Distributors (Serial # Recorded),99.0,876.0
290,B07TWN7XBX,New,295.0,2.0,DBMerchants,93.0,537.0
291,B07TWN7XBX,New,299.0,3.0,Sports Unlimited®,92.0,17223.0
292,B07TWN7XBX,New,299.0,4.0,JustBats,97.0,3922.0
293,B07TWN7XBX,New,299.0,5.0,Baseball Express/Team Express,85.0,9471.0
294,B07TWN7XBX,New,299.0,6.0,Protech Products Inc.,88.0,2243.0
295,B07TWN7XBX,New,299.0,7.0,Premier Bats & Sports,94.0,1966.0
296,B07TWN7XBX,New,299.0,8.0,SoftballFans/HardballFans,83.0,17620.0
297,B07TWN7XBX,New,299.0,9.0,BP Athletics,96.0,3660.0
298,B07TWN7XBX,New,299.0,10.0,HitaDouble,65.0,326.0
299,B08MBFWG5G,New,348.0,0.0,Amazon.com,85.0,236.0
300,B08MBFWG5G,Used,296.0,1.0,Amazon Warehouse,,
301,B08MBFWG5G,New,337.0,2.0,Troy  Store,85.0,236.0
302,B08MBFWG5G,New,349.0,3.0,HB Sports Inc.,99.0,88.0
303,B08MBFWG5G,New,349.0,4.0,JustBats,97.0,3922.0
304,B08MBFWG5G,New,349.0,5.0,"Direct Sports, Inc.",90.0,1054.0
305,B08MBFWG5G,New,349.0,6.0,Protech Products Inc.,88.0,2243.0
306,B08MBFWG5G,New,349.0,7.0,BP Athletics,96.0,3660.0
307,B08MBFWG5G,New,349.0,8.0,Better Baseball,82.0,119.0
308,B08MBFWG5G,New,349.0,9.0,Bases Loaded,87.0,8561.0
309,B08MBFWG5G,New,349.0,10.0,Spc Sports Inc,90.0,1836.0
310,B08KB68CVX,New,99.0,0.0,Amazon.com,,
311,B08KB68CVX,Used,85.0,1.0,Amazon Warehouse,,
312,B08KB68CVX,Used,85.0,2.0,Amazon Warehouse,,
313,B08KB68CVX,Used,85.0,3.0,Amazon Warehouse,,
314,B08KB68CVX,Used,87.0,4.0,Amazon Warehouse,,
315,B0874HYW4K,New,,0.0,Amazon.com,95.0,45.0
316,B0874HYW4K,Used,19.0,1.0,Amazon Warehouse,,
317,B0874HYW4K,Used,19.0,2.0,Amazon Warehouse,,
318,B08KGWR43G,New,150.0,0.0,Amazon.com,75.0,4.0
319,B07V9K1BZC,New,99.0,0.0,Amazon.com,85.0,9471.0
320,B07V9K1BZC,New,99.0,1.0,Baseball Express/Team Express,85.0,9471.0
321,B07V9K1BZC,New,99.0,2.0,Grizzly River Sports,91.0,14551.0
322,B07V9K1BZC,New,99.0,3.0,Final-Score Athletics,88.0,19781.0
323,B07V9K1BZC,New,99.0,4.0,Protech Products Inc.,88.0,2243.0
324,B07V9K1BZC,New,99.0,5.0,BP Athletics,96.0,3660.0
325,B07V9K1BZC,New,99.0,6.0,Bob Wards,80.0,9628.0
326,B07V9K1BZC,New,99.0,7.0,Al's Sporting Goods,88.0,10560.0
327,B07V9K1BZC,New,99.0,8.0,HQ4SPORTS,92.0,911.0
328,B07V9K1BZC,New,99.0,9.0,Gable Sporting Goods,94.0,316.0
329,B08CG5S115,New,22.0,0.0,Amazon.com,91.0,105.0
330,B0007DHT8Q,New,25.0,0.0,Amazon.com,97.0,64.0
331,B0007DHT8Q,Used,22.0,1.0,More,,
332,B0007DHT8Q,Used,23.0,2.0,Amazon Warehouse,,
333,B0007DHT8Q,Used,24.0,3.0,Amazon Warehouse,,
