siren,year,company,totalassets,marketable_sec,cash,totaldebt,inventory,creditors,tradedebts,taxes,otherdebts,netincome,netsales
523901338,2015,EUREKA LOGISTIQUE BORDEAUX,944.0,0.0,51.0,472.0,0.0,278.0,567.0,165.0,24.0,48.0,1434.0
523901338,2016,EUREKA LOGISTIQUE BORDEAUX,864.0,0.0,105.0,391.0,0.0,169.0,492.0,200.0,17.0,41.0,1333.0
523901338,2017,EUREKA LOGISTIQUE BORDEAUX,805.0,0.0,143.0,502.0,0.0,171.0,521.0,271.0,15.0,50.0,1368.0
523901338,2018,EUREKA LOGISTIQUE BORDEAUX,1061.0,0.0,288.0,491.0,0.0,246.0,645.0,183.0,17.0,109.0,1991.0
523903268,2015,STRATEGINFO,425.0,0.0,156.0,303.0,50.0,182.0,206.0,38.0,0.0,110.0,756.0
523903268,2018,STRATEGINFO,375.0,0.0,76.0,358.0,45.0,52.0,113.0,39.0,1.0,8.0,791.0
523908572,2014,P S M - PREFABRIQUES SUR MESURE,369.0,0.0,126.0,304.0,0.0,258.0,252.0,28.0,18.0,22.0,843.0
523908572,2015,P S M - PREFABRIQUES SUR MESURE,339.0,0.0,89.0,292.0,0.0,262.0,241.0,22.0,0.0,-5.0,838.0
523908572,2016,P S M - PREFABRIQUES SUR MESURE,231.0,0.0,13.0,189.0,0.0,171.0,214.0,18.0,0.0,-5.0,783.0
523908572,2017,P S M - PREFABRIQUES SUR MESURE,239.0,0.0,3.0,197.0,0.0,174.0,195.0,23.0,0.0,0.0,682.0
523936607,2014,SAS ORATECH,315.0,0.0,59.0,250.0,79.0,214.0,152.0,19.0,0.0,17.0,373.0
523936607,2015,SAS ORATECH,476.0,0.0,151.0,376.0,82.0,299.0,222.0,32.0,0.0,33.0,552.0
523936607,2016,SAS ORATECH,250.0,0.0,29.0,118.0,75.0,94.0,132.0,9.0,0.0,33.0,273.0
523936607,2017,SAS ORATECH,272.0,0.0,54.0,107.0,132.0,96.0,57.0,0.0,1.0,32.0,258.0
523937381,2015,SAONA,735.0,0.0,14.0,686.0,0.0,23.0,63.0,13.0,0.0,14.0,95.0
523960615,2014,SP MEDICA CONSEIL,253.0,0.0,4.0,96.0,0.0,56.0,20.0,12.0,27.0,-19.0,111.0
523966935,2014,ARENKA,138.0,0.0,61.0,130.0,0.0,23.0,54.0,15.0,3.0,1.0,406.0
523976215,2017,GILLES GUYOT,261.0,4.0,36.0,141.0,16.0,33.0,88.0,21.0,67.0,-34.0,309.0
523977395,2014,SAS LAMONT,30556.0,0.0,66.0,30356.0,127.0,101.0,16.0,89.0,220.0,0.0,41.0
523977395,2015,SAS LAMONT,29343.0,6.0,899.0,29152.0,60.0,47.0,4.0,52.0,490.0,-9.0,496.0
523990901,2014,RB IMMOBLIER,38.0,0.0,2.0,71.0,0.0,63.0,1.0,8.0,0.0,-27.0,33.0
523990901,2015,RB IMMOBLIER,41.0,0.0,6.0,90.0,0.0,82.0,0.0,8.0,0.0,-17.0,42.0
523990901,2017,RB IMMOBLIER,107.0,0.0,51.0,122.0,0.0,106.0,26.0,16.0,0.0,37.0,172.0
523996791,2014,ANSON WINES,48.0,0.0,0.0,46.0,0.0,3.0,46.0,41.0,0.0,1.0,78.0
523998334,2015,EURL ARCA COMPUTING,249.0,0.0,7.0,230.0,0.0,2.0,150.0,172.0,0.0,14.0,627.0
524029634,2014,EURL PHARMACIE SIMON,961.0,0.0,6.0,905.0,64.0,86.0,16.0,40.0,4.0,56.0,884.0
524029634,2016,EURL PHARMACIE SIMON,855.0,0.0,6.0,768.0,72.0,69.0,17.0,25.0,5.0,59.0,799.0
524034220,2014,ENTREPRISE DE NETTOYAGE JT BOUCHER,802.0,0.0,5.0,491.0,7.0,80.0,330.0,290.0,18.0,56.0,1527.0
524034220,2015,ENTREPRISE DE NETTOYAGE JT BOUCHER,858.0,0.0,13.0,519.0,9.0,117.0,373.0,341.0,5.0,27.0,1702.0
524034220,2016,ENTREPRISE DE NETTOYAGE JT BOUCHER,870.0,0.0,3.0,504.0,10.0,132.0,389.0,309.0,32.0,28.0,1879.0
524036761,2014,PHARMACIE TEILLAC,797.0,0.0,1.0,673.0,86.0,73.0,15.0,18.0,2.0,38.0,804.0
524042892,2014,BORDO SAFETY CONSULTING,30.0,0.0,13.0,17.0,0.0,1.0,15.0,5.0,0.0,-2.0,48.0
524042892,2015,BORDO SAFETY CONSULTING,37.0,0.0,23.0,21.0,0.0,1.0,11.0,10.0,0.0,3.0,60.0
524042892,2016,BORDO SAFETY CONSULTING,42.0,0.0,20.0,17.0,0.0,1.0,17.0,5.0,0.0,10.0,53.0
524046778,2017,LES ACACIAS,119.0,0.0,2.0,71.0,2.0,7.0,0.0,16.0,0.0,1.0,258.0
524050325,2015,NICOLAS IMMOBILIER,299.0,0.0,0.0,274.0,96.0,14.0,3.0,14.0,0.0,4.0,23.0
524050325,2016,NICOLAS IMMOBILIER,304.0,0.0,24.0,250.0,11.0,8.0,113.0,32.0,50.0,30.0,182.0
524054954,2014,CLOS DU JAUGUEYRON,916.0,0.0,199.0,404.0,377.0,16.0,25.0,24.0,2.0,104.0,333.0
524054954,2015,CLOS DU JAUGUEYRON,998.0,0.0,173.0,437.0,440.0,50.0,84.0,31.0,0.0,59.0,404.0
524054954,2016,CLOS DU JAUGUEYRON,1096.0,0.0,162.0,505.0,507.0,25.0,96.0,29.0,14.0,64.0,348.0
524054954,2017,CLOS DU JAUGUEYRON,1100.0,0.0,167.0,455.0,556.0,29.0,71.0,30.0,4.0,61.0,364.0
524056108,2014,FRANK JOUNOT,102.0,0.0,93.0,39.0,0.0,0.0,3.0,24.0,0.0,37.0,285.0
524078276,2015,L& EL,119.0,0.0,23.0,40.0,73.0,24.0,32.0,12.0,0.0,-110.0,80.0
524078276,2017,L& EL,401.0,0.0,279.0,363.0,72.0,39.0,42.0,70.0,247.0,-20.0,830.0
524078789,2014,SAMI AQUITAINE,12696.0,0.0,1.0,11024.0,6129.0,6628.0,3613.0,846.0,803.0,-399.0,29147.0
