,,daily,daily,daily,daily,monthly,monthly,monthly,monthly,annual,annual,annual,annual
,,value,std_error,t_value,p_value,value,std_error,t_value,p_value,value,std_error,t_value,p_value
name,feature,,,,,,,,,,,,
XLF,const,-0.0003858203330207022,0.00016876317640954414,-2.286164204947275,0.022348214108819375,-0.009044016507371341,0.0025428432734586615,-3.556655104059982,0.0005958504926323344,-0.11578938677543231,0.007255485924863393,-15.958874150474271,9.012780960060665e-05
XLF,mkt-rf,1.1911764830867866,0.014161067724322862,84.11629025972651,0.0,1.2846420375708427,0.06615824412726037,19.41771663558266,2.651019024646517e-34,1.2290358135663233,0.041127802555246666,29.883332860183053,7.467924100957245e-06
XLF,smb,-0.22866433467064776,0.028017036015650424,-8.161617615186524,5.763514348161961e-16,-0.5278475391238734,0.12510146323792243,-4.219355437274095,5.7362495954242603e-05,0.1840424322187455,0.10868300583165211,1.6933873958530712,0.16563375704070693
XLF,hml,1.400065459833482,0.025909489490619858,54.036782945505536,0.0,1.0328876474638282,0.10078486816348331,10.248439733913026,6.874092674646854e-17,0.8291823975393268,0.07162124561010356,11.577324444387415,0.0003179949973888973
XLF,R_squared,0.9040864407101667,,,,0.8903599848531484,,,,0.9966468603524977,,,
XLV,const,-6.515335304194635e-05,0.00013904725613701147,-0.46856985784564426,0.6394279117302644,-0.0008997205314143202,0.002509216611021514,-0.35856630609823664,0.7207410610768357,-0.013242277120874325,0.019340355939844938,-0.6846966602922043,0.53114904212694
XLV,mkt-rf,0.7124667205523961,0.01166757851404206,61.06380340144568,0.0,0.7582286328064564,0.06528336482741431,11.614423288550453,9.885352752373263e-20,0.6302510482946071,0.10963102246761108,5.748838550518908,0.004538751430122397
XLV,smb,-0.09235643370040034,0.023083779684344132,-4.00092337404512,6.538040692258353e-05,-0.3957694055587565,0.12344711642126904,-3.205983396227539,0.0018514175259638052,-0.5330030489883445,0.2897074074933128,-1.8397977932291827,0.13963117948061102
XLV,hml,-0.273995333460925,0.021347331202387135,-12.835109497447897,2.6606287048467278e-36,-0.15109307297792213,0.09945208498495252,-1.5192549557988964,0.13212759979609343,-0.20126601555215495,0.19091490181349088,-1.054218469277879,0.3512498376926903
XLV,R_squared,0.6763843096589199,,,,0.6160091039431932,,,,0.9014782754327249,,,
XLI,const,-3.9972692936983444e-05,0.00012506895467758762,-0.319605237287128,0.7493008016388106,-0.0007143435195491469,0.002084702149194652,-0.34265975109447033,0.7326361061775846,-0.012837085637715573,0.02974019656941369,-0.43164091426745566,0.6882497044913829
XLI,mkt-rf,0.9930403831540235,0.01049464684820558,94.62351592362708,0.0,1.152147859522107,0.054238589990428805,21.242216284114694,3.041900493499673e-37,0.9823219866727239,0.16858263459233436,5.826946464848943,0.004321023503172063
XLI,smb,0.11296579321471026,0.020763187101540927,5.440676937613618,5.9552072405618475e-08,-0.0041772624814707116,0.10256207765599534,-0.04072911330327878,0.9676001105208549,0.1273102032508331,0.44549103818279756,0.28577500407223483,0.7892388837965045
XLI,hml,-0.025697467584298216,0.019201302296882508,-1.3383189945647809,0.18094376431360557,0.15711077266808796,0.08262657532209446,1.9014557006101198,0.06037187202845454,-0.14094470738976875,0.29357508856732323,-0.4800976407010332,0.6562319978028021
XLI,R_squared,0.8588029107530524,,,,0.8818845837375524,,,,0.9147655000429709,,,
